loss,mae,val_loss,val_mae
59.76085662841797,7.583737373352051,27.482336044311523,5.078413963317871
12.909536361694336,3.0569677352905273,5.6612138748168945,1.942882776260376
4.918356418609619,1.8001759052276611,3.2970669269561768,1.4365663528442383
3.295989990234375,1.4389244318008423,2.851550817489624,1.3535493612289429
2.7711732387542725,1.2982158660888672,2.61296010017395,1.2852095365524292
2.47470760345459,1.2214206457138062,2.3244247436523438,1.2062623500823975
2.204566478729248,1.156182050704956,2.102151393890381,1.1513879299163818
1.9265598058700562,1.0882829427719116,1.8746845722198486,1.0826106071472168
1.6861127614974976,1.0195112228393555,1.6561142206192017,1.0235399007797241
1.4473130702972412,0.9447527527809143,1.446621060371399,0.9494436979293823
1.2256217002868652,0.8692788481712341,1.1928563117980957,0.8546288013458252
1.050024390220642,0.8037579655647278,1.0504212379455566,0.7929537892341614
0.8918125033378601,0.7396562695503235,0.9320062398910522,0.745222270488739
0.7643010020256042,0.686312735080719,0.8532224893569946,0.7089807391166687
0.6604136228561401,0.6359251737594604,0.7207546234130859,0.6456988453865051
0.5754420161247253,0.586628258228302,0.6773180961608887,0.6194632649421692
0.5054473280906677,0.5536553859710693,0.5846244692802429,0.5715228319168091
0.4395405054092407,0.50860595703125,0.533096194267273,0.54258131980896
0.38810887932777405,0.4764125347137451,0.484161913394928,0.5057732462882996
0.344007670879364,0.44587913155555725,0.4410865306854248,0.47647011280059814
0.31062379479408264,0.4175717830657959,0.4258077144622803,0.45818233489990234
0.28341296315193176,0.3929915130138397,0.3914722800254822,0.4325869679450989
0.2601602077484131,0.3766584098339081,0.3796311318874359,0.41756564378738403
0.2415577918291092,0.35855159163475037,0.3310922682285309,0.3919494152069092
0.2220747023820877,0.33782991766929626,0.33023443818092346,0.379182368516922
0.20723655819892883,0.3228372037410736,0.3214608132839203,0.3627576529979706
0.19828370213508606,0.3112230598926544,0.3025359809398651,0.3480411767959595
0.18172599375247955,0.2957516014575958,0.2885746657848358,0.3430338501930237
0.1781567484140396,0.2843499481678009,0.2805197238922119,0.32293641567230225
0.16720134019851685,0.27609410881996155,0.27758660912513733,0.3477855920791626
0.1589890569448471,0.2631545066833496,0.29337531328201294,0.3162873387336731
0.1552303284406662,0.25566309690475464,0.26133105158805847,0.30671262741088867
0.14780615270137787,0.24583248794078827,0.2676568031311035,0.29674890637397766
0.14547285437583923,0.2513808012008667,0.2876134514808655,0.2960887551307678
0.14223025739192963,0.23636163771152496,0.2633761167526245,0.30027279257774353
0.1323513388633728,0.22063007950782776,0.27126532793045044,0.28119906783103943
0.13089792430400848,0.21649476885795593,0.2517804503440857,0.2785654067993164
0.13261044025421143,0.22195357084274292,0.2681536078453064,0.274773508310318
0.12513160705566406,0.21532289683818817,0.27786529064178467,0.26678720116615295
0.12414899468421936,0.2011651247739792,0.2583581209182739,0.29017573595046997
0.12068592011928558,0.20140165090560913,0.26322510838508606,0.2541636526584625
0.1234414130449295,0.20247246325016022,0.26709672808647156,0.2554534375667572
0.12076390534639359,0.19812510907649994,0.257377564907074,0.26019975543022156
0.11862637102603912,0.196669802069664,0.24415117502212524,0.2547590732574463
0.11735891550779343,0.19555161893367767,0.26053479313850403,0.25896239280700684
0.11822139471769333,0.1922643482685089,0.2608965337276459,0.24671514332294464
0.11646474152803421,0.1902155876159668,0.24523264169692993,0.2665638029575348
0.11439188569784164,0.18951009213924408,0.23837053775787354,0.26746666431427
0.1194852963089943,0.2084067165851593,0.2558283805847168,0.26461896300315857
0.11946657299995422,0.19482359290122986,0.2571604549884796,0.25504979491233826
0.11413728445768356,0.18631237745285034,0.2603335380554199,0.2543170750141144
0.1138836070895195,0.18841445446014404,0.2461567521095276,0.2614401578903198
0.1129378154873848,0.1833493858575821,0.24535460770130157,0.2832019627094269
0.1123778447508812,0.18829958140850067,0.256059467792511,0.24894940853118896
0.11287703365087509,0.18542641401290894,0.24954460561275482,0.24424441158771515
0.11189675331115723,0.18543657660484314,0.2570052742958069,0.24747082591056824
0.1125159040093422,0.1917325258255005,0.25187981128692627,0.26438069343566895
0.11407073587179184,0.1851659119129181,0.2552180588245392,0.2968895733356476
0.11367140710353851,0.18788118660449982,0.2443096935749054,0.24970243871212006
0.11226322501897812,0.1835113763809204,0.2471148669719696,0.23669905960559845
0.11001890897750854,0.18166105449199677,0.2453916072845459,0.25631093978881836
0.11322952061891556,0.18785680830478668,0.2511615455150604,0.24059438705444336
0.10993293672800064,0.1797015368938446,0.24791815876960754,0.29077574610710144
0.11845847964286804,0.20411193370819092,0.2527936100959778,0.35644856095314026
0.12553346157073975,0.22718724608421326,0.26991477608680725,0.25065794587135315
0.11738221347332001,0.20388832688331604,0.2703845202922821,0.24338795244693756
0.10908494889736176,0.18395274877548218,0.2593463659286499,0.24446289241313934
0.11115571856498718,0.1895512342453003,0.2580430209636688,0.23959679901599884
0.10955706983804703,0.17865028977394104,0.25219911336898804,0.2487202137708664
0.11107854545116425,0.1948251724243164,0.2940561771392822,0.27240946888923645
0.11743432283401489,0.20224857330322266,0.25332412123680115,0.2599949240684509
0.10904070734977722,0.1884317398071289,0.23888838291168213,0.2662903666496277
0.10680007934570312,0.17970730364322662,0.2550789415836334,0.2702977955341339
0.11640368402004242,0.2077227532863617,0.25791966915130615,0.2536401152610779
0.11277454346418381,0.19047406315803528,0.24679693579673767,0.3129543960094452
0.12331073731184006,0.22335045039653778,0.25340554118156433,0.30757927894592285
0.11394122987985611,0.19620920717716217,0.2690301537513733,0.25916409492492676
0.10917043685913086,0.19052734971046448,0.26529139280319214,0.28428909182548523
0.11088784784078598,0.18602000176906586,0.2575231194496155,0.25384601950645447
0.11037428677082062,0.18701738119125366,0.2505967915058136,0.24633987247943878
0.11058036237955093,0.18568259477615356,0.25746533274650574,0.24252663552761078
0.107618048787117,0.1853022426366806,0.26844656467437744,0.23822277784347534
0.10633940249681473,0.1753273904323578,0.25475671887397766,0.31559526920318604
0.11214234679937363,0.20396050810813904,0.24930238723754883,0.27807074785232544
0.10955581068992615,0.18638953566551208,0.2560102641582489,0.2764844000339508
0.12270376831293106,0.2283429056406021,0.2760384678840637,0.2927800714969635
0.11053600162267685,0.18717296421527863,0.2587949335575104,0.2411550134420395
0.10982495546340942,0.18365101516246796,0.2521798312664032,0.2982228696346283
0.10686156898736954,0.185017392039299,0.24531231820583344,0.30342602729797363
0.10577110946178436,0.18680249154567719,0.25637951493263245,0.24172168970108032
0.10410764813423157,0.17916704714298248,0.26914530992507935,0.2441493272781372
0.11293654143810272,0.20571020245552063,0.26952606439590454,0.25942426919937134
0.10741804540157318,0.18269319832324982,0.25801965594291687,0.24725641310214996
0.10824307799339294,0.18159568309783936,0.24679876863956451,0.2709299921989441
0.10728989541530609,0.1871994584798813,0.2556556165218353,0.24264267086982727
0.10977976769208908,0.197785422205925,0.2962169945240021,0.26077741384506226
0.1134943813085556,0.18936190009117126,0.2498677670955658,0.3061261475086212
0.11887457221746445,0.21062806248664856,0.254207968711853,0.2600069046020508
0.10552937537431717,0.1807282716035843,0.2636532485485077,0.2553712725639343
0.10701119154691696,0.19082224369049072,0.2928600013256073,0.25121355056762695
